model,family,iteration,macro_f1,macro_precision,macro_recall
convnext_base,ConvNeXt,1,85.25133033300611,86.47646202375199,85.24964877674833
convnext_base,ConvNeXt,2,84.04787676665583,84.99579180842387,84.72473573806775
convnext_base,ConvNeXt,3,86.64663614721783,87.04861697656823,86.90226162591365
convnext_base,ConvNeXt,4,87.84537202674743,88.39154147254163,88.66261995411422
convnext_base,ConvNeXt,5,87.44444038442472,87.76935946003115,88.90740146693169
convnext_base,ConvNeXt,6,86.72310237271736,87.29179735904317,87.38950286214386
convnext_base,ConvNeXt,7,86.85403086817335,87.73785681038689,87.83171525640815
convnext_base,ConvNeXt,8,84.99541783702077,85.68546727249108,85.58280621330023
convnext_base,ConvNeXt,9,87.36564277671441,88.35090716555247,87.58047562210302
convnext_base,ConvNeXt,10,87.27664869341743,88.59640305054747,86.89746378567216
convnext_base,ConvNeXt,11,87.70752856486276,88.11191542454772,88.463314244419
convnext_base,ConvNeXt,12,86.02855542752525,86.7600976127052,86.69268733241002
convnext_base,ConvNeXt,13,85.09802480119369,85.88706399670485,85.12545862112337
convnext_base,ConvNeXt,14,85.57223522767052,86.65586422181977,85.78885626286163
convnext_base,ConvNeXt,15,89.07929262040803,89.49959531800964,89.83741281039762
convnext_base,ConvNeXt,16,86.62716181464015,87.3488402684795,87.27620142932054
convnext_base,ConvNeXt,17,87.22097632312786,87.6062502393435,87.61763156079347
convnext_base,ConvNeXt,18,86.13071916011172,87.13791078016617,86.32701054309672
convnext_base,ConvNeXt,19,89.22875377951634,89.97056211015021,89.57982935618318
convnext_base,ConvNeXt,20,87.58846826552906,88.43617662464905,87.9492288300089
convnext_base,ConvNeXt,21,86.31018880756321,87.69613398924501,86.68485055661192
convnext_base,ConvNeXt,22,85.10625328851127,86.38496210120923,85.2761319084907
convnext_base,ConvNeXt,23,86.42414250493844,87.33221863686933,86.64458442702633
convnext_base,ConvNeXt,24,86.3828553112366,87.21566363072624,86.81657772164569
convnext_base,ConvNeXt,25,86.71182533099,87.61614987217357,87.05604372831661
convnext_base,ConvNeXt,26,85.55583431617741,86.09914067547781,86.02054468766003
convnext_base,ConvNeXt,27,86.99931724458972,88.03387390865518,87.22725365947872
convnext_base,ConvNeXt,28,86.97864582923877,87.7678760455101,87.01560475173666
convnext_base,ConvNeXt,29,88.4044737765607,88.73468779034054,88.97550540150488
